Time_Period,pIES_MW,pGridSale_MW,pGridPurchase_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_per_hr,qSteam_Electrolyzer_MWth,H2_storage_level_kg,H2_to_storage_kg_per_hr,H2_from_storage_kg_per_hr,H2_to_market_kg_per_hr,BatterySOC_MWh,BatteryCharge_MW,BatteryDischarge_MW,Energy_Revenue_USD,H2_Revenue_USD,AS_Revenue_USD
7758,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13741.777632483045,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,0.0,14149.219091903806,672.0889418534482
7759,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13809.199378226731,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,15126.904826312208,14149.219091903806,1548.8456934221906
7760,718.8610758735942,718.8610758735942,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13876.621123970417,4979.674796747968,4716.406363967935,4716.406363967935,7.7,0.0,2.116000000000003,18589.747422091146,14149.219091903806,1367.1966840290759
7761,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13944.042869714103,4979.674796747968,4716.406363967935,4716.406363967935,10.0,2.5,0.0,10320.841346373436,14149.219091903806,989.1593260612888
7762,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,14011.46461545779,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,12657.718039927675,14149.219091903806,1686.2875355360602
7763,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,14078.886361201476,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,17599.675338076107,14149.219091903806,1438.6696648090679
7764,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,14146.308106945162,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,15657.296182458665,14149.219091903806,1299.0856791805954
7765,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,14213.729852688848,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,18821.725692440585,14149.219091903806,1564.27203350524
7766,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,14281.151598432534,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,21290.912478825117,14149.219091903806,1747.468812103105
7767,718.8610758735942,718.8610758735942,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,14348.57334417622,4979.674796747968,4716.406363967935,4716.406363967935,7.7,0.0,2.1160000000000205,23086.223451680482,14149.219091903806,1559.9045030483576
7768,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,14415.995089919907,4979.674796747968,4716.406363967935,4716.406363967935,10.0,2.5,0.0,17556.143964972947,14149.219091903806,1382.829084445647
7769,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,14483.416835663593,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,21849.973638006522,14149.219091903806,1812.8158551836289
7770,804.1002764321678,804.1002764321678,0.0,928.1373699281028,2979.887195121951,125.0,125.0,3074.186991869919,46.11280487804879,12683.460532626792,3074.186991869919,4716.406363967935,4716.406363967935,7.282608695652165,0.0,2.5,72023.26176002926,14149.219091903806,17099.553013591794
7771,804.1002764321678,804.1002764321678,0.0,928.1373699281028,2979.887195121951,125.0,125.0,3074.1869918699185,46.11280487804879,10883.50422958999,3074.1869918699185,4716.406363967935,4716.406363967935,4.565217391304326,0.0,2.5,78387.71544798987,14149.219091903806,18855.608726782448
7772,802.3802764321678,802.3802764321678,0.0,928.1373699281028,2979.887195121951,125.0,125.0,3074.186991869919,46.11280487804879,9083.547926575626,3074.186991869919,4716.406363967935,4716.406363967935,3.7173913043478297,0.0,0.7799999999999654,59352.06904768745,14149.219091903806,13114.560704391726
7773,804.1002764321678,804.1002764321678,0.0,928.1373699281028,2979.887195121951,125.0,125.0,3074.1869918699185,46.11280487804879,7283.591623538825,3074.1869918699185,4716.406363967935,4716.406363967935,1.0,0.0,2.5,60110.5161646867,14149.219091903806,12109.02167065789
7774,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7351.013369282515,4979.674796747968,4716.406363967935,4716.406363967935,1.0,0.0,0.0,19868.173503216032,14149.219091903806,1399.6964987603885
7775,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7418.435115026205,4979.674796747968,4716.406363967935,4716.406363967935,1.0,0.0,0.0,7568.828001225156,14149.219091903806,1026.9118103891037
7776,714.4624671779421,714.4624671779421,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7485.856860769894,4979.674796747968,4716.406363967935,4716.406363967935,3.1,2.2826086956521348,0.0,550.1360997270154,14149.219091903806,577.0281223592269
7777,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7553.27860651357,4979.674796747968,4716.406363967935,4716.406363967935,5.4,2.5,0.0,0.0,14149.219091903806,795.1724611182101
7778,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7620.700352257252,4979.674796747968,4716.406363967935,4716.406363967935,7.7,2.5,0.0,0.0,14149.219091903806,757.6265909769049
7779,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7688.122098000935,4979.674796747968,4716.406363967935,4716.406363967935,7.7,0.0,0.0,0.0,14149.219091903806,926.3962055222848
7780,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7755.543843744621,4979.674796747968,4716.406363967935,4716.406363967935,10.0,2.5,0.0,0.0,14149.219091903806,840.2382886410231
7781,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7822.965589488307,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,698.8264489767544,14149.219091903806,845.9105411894753
7782,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7890.387335231993,4979.674796747968,4716.406363967935,4716.406363967935,10.0,0.0,0.0,3626.7300839203867,14149.219091903806,710.4371722825533
7783,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,7957.8090809756795,4979.674796747968,4716.406363967935,4716.406363967935,7.282608695652138,0.0,2.5,33308.23946370615,14149.219091903806,2895.9909199452395
7784,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,8025.230826719366,4979.674796747968,4716.406363967935,4716.406363967935,4.56521739130433,0.0,2.5,33631.89974784927,14149.219091903806,2521.86223907312
7785,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,8092.652572463052,4979.674796747968,4716.406363967935,4716.406363967935,4.565217391304348,0.0,0.0,14962.05345886128,14149.219091903806,1728.177756053096
