Time,Rse,Reg,Syn,TMR
2024-01-18 03:00:00,0.04,89.18,0.04,0.0
2024-01-18 04:00:00,0.04,77.87,0.04,0.0
2024-01-18 05:00:00,0.0,25.04,0.0,0.0
2024-01-18 06:00:00,0.0,41.59,0.0,0.0
2024-01-18 07:00:00,0.0,62.96,0.0,0.0
2024-01-18 08:00:00,0.0,76.38,0.0,0.0
2024-01-18 09:00:00,0.01,49.78,0.01,0.0
2024-01-18 10:00:00,0.04,55.22,0.04,0.0
2024-01-18 11:00:00,0.04,40.5,0.04,0.0
2024-01-18 12:00:00,0.04,84.42,0.04,0.0
2024-01-18 13:00:00,0.04,58.6,0.04,0.0
2024-01-18 14:00:00,0.04,42.1,0.04,0.0
2024-01-18 15:00:00,0.04,41.65,0.04,0.0
2024-01-18 16:00:00,0.04,46.43,0.04,0.0
2024-01-18 17:00:00,0.0,37.91,0.0,0.0
2024-01-18 18:00:00,0.04,25.36,0.04,0.0
2024-01-18 19:00:00,0.0,41.84,0.04,0.0
2024-01-18 20:00:00,0.0,28.94,0.02,0.0
2024-01-18 21:00:00,0.0,37.01,0.01,0.0
2024-01-18 22:00:00,0.04,41.97,0.04,0.0
2024-01-18 23:00:00,0.04,37.9,0.04,0.0
2024-01-19 00:00:00,0.02,37.78,0.02,0.0
2024-01-19 01:00:00,0.04,49.78,0.04,0.0
2024-01-19 02:00:00,0.04,34.16,0.04,0.0
2024-01-19 03:00:00,0.02,35.75,0.02,0.0
2024-01-19 04:00:00,0.04,38.52,0.04,0.0
2024-01-19 05:00:00,0.04,44.68,0.04,0.0
2024-01-19 06:00:00,0.02,82.36,0.02,0.0
2024-01-19 07:00:00,0.0,8.22,0.0,0.0
2024-01-19 08:00:00,0.0,17.39,0.0,0.0
2024-01-19 09:00:00,0.0,76.06,0.0,0.0
2024-01-19 10:00:00,0.02,22.5,0.02,0.0
2024-01-19 11:00:00,0.0,57.04,0.0,0.0
2024-01-19 12:00:00,0.0,8.26,0.0,0.0
2024-01-19 13:00:00,0.0,32.44,0.0,0.0
